District,pop_2020,est_2020,est_2021,est_2022,est_2023,est_2024
Mississippi,2961278,2958536,2947209,2941939,2943172,2943045
"Adams County, Mississippi",29542,29427,28504,28558,28854,28674
"Alcorn County, Mississippi",34743,34732,34344,34094,34046,34228
"Amite County, Mississippi",12723,12702,12626,12572,12474,12451
"Attala County, Mississippi",17882,17817,17716,17529,17346,17222
"Benton County, Mississippi",7651,7669,7645,7574,7491,7566
"Bolivar County, Mississippi",30986,30843,30140,29443,28850,28395
"Calhoun County, Mississippi",13259,13216,12962,12913,12766,12754
"Carroll County, Mississippi",10004,9940,9831,9747,9532,9378
"Chickasaw County, Mississippi",17107,17083,17011,16870,16838,16774
"Choctaw County, Mississippi",8245,8207,8134,8086,8072,8091
"Claiborne County, Mississippi",9132,9096,8668,8599,8425,8122
"Clarke County, Mississippi",15611,15547,15417,15212,15240,15155
"Clay County, Mississippi",18632,18621,18482,18334,18265,18213
"Coahoma County, Mississippi",21389,21228,20712,20404,20253,20105
"Copiah County, Mississippi",28369,28271,27918,27811,27737,27536
"Covington County, Mississippi",18339,18301,18280,18126,18020,18015
"DeSoto County, Mississippi",185312,186129,188957,191585,193961,195871
"Forrest County, Mississippi",78177,78212,77996,78284,78432,78435
"Franklin County, Mississippi",7676,7661,7686,7619,7626,7516
"George County, Mississippi",24349,24367,24795,25219,25589,25880
"Greene County, Mississippi",13530,13529,13664,13583,13625,13675
"Grenada County, Mississippi",21627,21577,21324,21152,21103,20931
"Hancock County, Mississippi",46052,46130,46004,46047,46161,46492
"Harrison County, Mississippi",208627,208835,209526,210972,211394,213730
"Hinds County, Mississippi",227739,226772,222017,217383,214517,211975
"Holmes County, Mississippi",16997,16876,16535,16147,15836,15560
"Humphreys County, Mississippi",7789,7735,7558,7342,7217,7121
"Issaquena County, Mississippi",1335,1325,1318,1284,1280,1295
"Itawamba County, Mississippi",23861,23865,23945,24034,24139,24198
"Jackson County, Mississippi",143246,143378,144482,145218,146165,147002
"Jasper County, Mississippi",16368,16352,16155,16020,15970,15799
"Jefferson County, Mississippi",7256,7245,7137,7086,6974,6900
"Jefferson Davis County, Mississippi",11326,11274,11170,11086,10997,11059
"Jones County, Mississippi",67251,67173,66747,66464,66141,65837
"Kemper County, Mississippi",8987,8962,8809,8692,8620,8562
"Lafayette County, Mississippi",55816,55916,57700,58776,59400,59843
"Lamar County, Mississippi",64219,64393,65420,65811,66207,66734
"Lauderdale County, Mississippi",72978,72676,72032,71323,70901,70588
"Lawrence County, Mississippi",12015,11984,11790,11766,11718,11672
"Leake County, Mississippi",21273,21250,21270,21279,21336,21462
"Lee County, Mississippi",83346,83319,83002,82946,82893,83012
"Leflore County, Mississippi",28493,28341,27676,26938,26595,26157
"Lincoln County, Mississippi",34922,34844,34961,34807,34815,34956
"Lowndes County, Mississippi",58884,58783,58133,57694,57369,57210
"Madison County, Mississippi",109130,109252,109972,111694,113068,114247
"Marion County, Mississippi",24439,24376,24308,24142,24133,24008
"Marshall County, Mississippi",33753,33783,33660,33897,34180,34374
"Monroe County, Mississippi",34172,34135,33918,33561,33636,33483
"Montgomery County, Mississippi",9818,9793,9696,9547,9565,9411
"Neshoba County, Mississippi",29097,29003,28923,28854,28908,28973
"Newton County, Mississippi",21290,21254,21088,21017,21041,21063
"Noxubee County, Mississippi",10276,10226,10116,10019,9938,9825
"Oktibbeha County, Mississippi",51782,51705,51803,51661,51721,51965
"Panola County, Mississippi",33203,33170,32902,32553,32651,32764
"Pearl River County, Mississippi",56147,56207,56519,57338,58198,59030
"Perry County, Mississippi",11512,11459,11507,11440,11433,11406
"Pike County, Mississippi",40325,40193,39976,39592,39271,38980
"Pontotoc County, Mississippi",31189,31195,31332,31449,31761,32014
"Prentiss County, Mississippi",25007,24974,25052,25094,25310,25489
"Quitman County, Mississippi",6171,6153,5897,5683,5592,5542
"Rankin County, Mississippi",157031,157175,157600,158733,160184,160573
"Scott County, Mississippi",27993,27977,27617,27710,27619,27666
"Sharkey County, Mississippi",3803,3774,3629,3483,3378,3234
"Simpson County, Mississippi",25944,25890,25699,25615,25653,25597
"Smith County, Mississippi",14219,14205,14199,14095,14108,14051
"Stone County, Mississippi",18331,18329,18736,18834,19004,19569
"Sunflower County, Mississippi",25816,25702,24681,24314,23940,23029
"Tallahatchie County, Mississippi",12711,12647,11969,11762,11517,10921
"Tate County, Mississippi",28064,28119,28173,28372,28389,28551
"Tippah County, Mississippi",21812,21737,21599,21480,21377,21423
"Tishomingo County, Mississippi",18860,18854,18745,18626,18524,18553
"Tunica County, Mississippi",9787,9734,9644,9461,9380,9157
"Union County, Mississippi",27781,27814,28029,28130,28275,28363
"Walthall County, Mississippi",13885,13873,13835,13815,13835,13839
"Warren County, Mississippi",44719,44550,43440,42684,42323,42105
"Washington County, Mississippi",44928,44648,43605,42490,41902,41181
"Wayne County, Mississippi",19776,19807,19672,19617,19743,19749
"Webster County, Mississippi",9924,9904,9975,9953,9989,10039
"Wilkinson County, Mississippi",8585,8524,8303,8175,7988,7820
"Winston County, Mississippi",17710,17686,17573,17527,17476,17418
"Yalobusha County, Mississippi",12478,12436,12438,12395,12369,12458
"Yazoo County, Mississippi",26745,26670,25180,24698,24603,23024
