GEO_ID,NAME,FIPS,Cty_Name,St_Name,FlashFloodCount
0500000US01001,"Autauga County, Alabama",01001,Autauga County,Alabama,0
0500000US01003,"Baldwin County, Alabama",01003,Baldwin County,Alabama,5
0500000US01005,"Barbour County, Alabama",01005,Barbour County,Alabama,0
0500000US01007,"Bibb County, Alabama",01007,Bibb County,Alabama,0
0500000US01009,"Blount County, Alabama",01009,Blount County,Alabama,0
0500000US01011,"Bullock County, Alabama",01011,Bullock County,Alabama,0
0500000US01013,"Butler County, Alabama",01013,Butler County,Alabama,0
0500000US01015,"Calhoun County, Alabama",01015,Calhoun County,Alabama,1
0500000US01017,"Chambers County, Alabama",01017,Chambers County,Alabama,0
0500000US01019,"Cherokee County, Alabama",01019,Cherokee County,Alabama,1
0500000US01021,"Chilton County, Alabama",01021,Chilton County,Alabama,1
0500000US01023,"Choctaw County, Alabama",01023,Choctaw County,Alabama,0
0500000US01025,"Clarke County, Alabama",01025,Clarke County,Alabama,0
0500000US01027,"Clay County, Alabama",01027,Clay County,Alabama,0
0500000US01029,"Cleburne County, Alabama",01029,Cleburne County,Alabama,1
0500000US01031,"Coffee County, Alabama",01031,Coffee County,Alabama,0
0500000US01033,"Colbert County, Alabama",01033,Colbert County,Alabama,0
0500000US01035,"Conecuh County, Alabama",01035,Conecuh County,Alabama,0
0500000US01037,"Coosa County, Alabama",01037,Coosa County,Alabama,0
0500000US01039,"Covington County, Alabama",01039,Covington County,Alabama,0
0500000US01041,"Crenshaw County, Alabama",01041,Crenshaw County,Alabama,0
0500000US01043,"Cullman County, Alabama",01043,Cullman County,Alabama,3
0500000US01045,"Dale County, Alabama",01045,Dale County,Alabama,0
0500000US01047,"Dallas County, Alabama",01047,Dallas County,Alabama,1
0500000US01049,"DeKalb County, Alabama",01049,DeKalb County,Alabama,1
0500000US01051,"Elmore County, Alabama",01051,Elmore County,Alabama,0
0500000US01053,"Escambia County, Alabama",01053,Escambia County,Alabama,2
0500000US01055,"Etowah County, Alabama",01055,Etowah County,Alabama,0
0500000US01057,"Fayette County, Alabama",01057,Fayette County,Alabama,2
0500000US01059,"Franklin County, Alabama",01059,Franklin County,Alabama,0
0500000US01061,"Geneva County, Alabama",01061,Geneva County,Alabama,0
0500000US01063,"Greene County, Alabama",01063,Greene County,Alabama,0
0500000US01065,"Hale County, Alabama",01065,Hale County,Alabama,0
0500000US01067,"Henry County, Alabama",01067,Henry County,Alabama,0
0500000US01069,"Houston County, Alabama",01069,Houston County,Alabama,0
0500000US01071,"Jackson County, Alabama",01071,Jackson County,Alabama,2
0500000US01073,"Jefferson County, Alabama",01073,Jefferson County,Alabama,2
0500000US01075,"Lamar County, Alabama",01075,Lamar County,Alabama,1
0500000US01077,"Lauderdale County, Alabama",01077,Lauderdale County,Alabama,2
0500000US01079,"Lawrence County, Alabama",01079,Lawrence County,Alabama,4
0500000US01081,"Lee County, Alabama",01081,Lee County,Alabama,1
0500000US01083,"Limestone County, Alabama",01083,Limestone County,Alabama,0
0500000US01085,"Lowndes County, Alabama",01085,Lowndes County,Alabama,0
0500000US01087,"Macon County, Alabama",01087,Macon County,Alabama,0
0500000US01089,"Madison County, Alabama",01089,Madison County,Alabama,0
0500000US01091,"Marengo County, Alabama",01091,Marengo County,Alabama,0
0500000US01093,"Marion County, Alabama",01093,Marion County,Alabama,0
0500000US01095,"Marshall County, Alabama",01095,Marshall County,Alabama,0
0500000US01097,"Mobile County, Alabama",01097,Mobile County,Alabama,5
0500000US01099,"Monroe County, Alabama",01099,Monroe County,Alabama,0
0500000US01101,"Montgomery County, Alabama",01101,Montgomery County,Alabama,2
0500000US01103,"Morgan County, Alabama",01103,Morgan County,Alabama,8
0500000US01105,"Perry County, Alabama",01105,Perry County,Alabama,0
0500000US01107,"Pickens County, Alabama",01107,Pickens County,Alabama,0
0500000US01109,"Pike County, Alabama",01109,Pike County,Alabama,0
0500000US01111,"Randolph County, Alabama",01111,Randolph County,Alabama,0
0500000US01113,"Russell County, Alabama",01113,Russell County,Alabama,1
0500000US01115,"St. Clair County, Alabama",01115,St. Clair County,Alabama,0
0500000US01117,"Shelby County, Alabama",01117,Shelby County,Alabama,3
0500000US01119,"Sumter County, Alabama",01119,Sumter County,Alabama,0
0500000US01121,"Talladega County, Alabama",01121,Talladega County,Alabama,1
0500000US01123,"Tallapoosa County, Alabama",01123,Tallapoosa County,Alabama,0
0500000US01125,"Tuscaloosa County, Alabama",01125,Tuscaloosa County,Alabama,1
0500000US01127,"Walker County, Alabama",01127,Walker County,Alabama,0
0500000US01129,"Washington County, Alabama",01129,Washington County,Alabama,0
