GEO_ID,NAME,FIPS,Cty_Name,Cty_Nm_Light,State_Name,Cty_State,Cty_StAbbr
0500000US28001,"Adams County, Mississippi",28001,Adams County,Adams,Mississippi,"Adams, Mississippi","Adams, MS"
0500000US28003,"Alcorn County, Mississippi",28003,Alcorn County,Alcorn,Mississippi,"Alcorn, Mississippi","Alcorn, MS"
0500000US28005,"Amite County, Mississippi",28005,Amite County,Amite,Mississippi,"Amite, Mississippi","Amite, MS"
0500000US28007,"Attala County, Mississippi",28007,Attala County,Attala,Mississippi,"Attala, Mississippi","Attala, MS"
0500000US28009,"Benton County, Mississippi",28009,Benton County,Benton,Mississippi,"Benton, Mississippi","Benton, MS"
0500000US28011,"Bolivar County, Mississippi",28011,Bolivar County,Bolivar,Mississippi,"Bolivar, Mississippi","Bolivar, MS"
0500000US28013,"Calhoun County, Mississippi",28013,Calhoun County,Calhoun,Mississippi,"Calhoun, Mississippi","Calhoun, MS"
0500000US28015,"Carroll County, Mississippi",28015,Carroll County,Carroll,Mississippi,"Carroll, Mississippi","Carroll, MS"
0500000US28017,"Chickasaw County, Mississippi",28017,Chickasaw County,Chickasaw,Mississippi,"Chickasaw, Mississippi","Chickasaw, MS"
0500000US28019,"Choctaw County, Mississippi",28019,Choctaw County,Choctaw,Mississippi,"Choctaw, Mississippi","Choctaw, MS"
0500000US28021,"Claiborne County, Mississippi",28021,Claiborne County,Claiborne,Mississippi,"Claiborne, Mississippi","Claiborne, MS"
0500000US28023,"Clarke County, Mississippi",28023,Clarke County,Clarke,Mississippi,"Clarke, Mississippi","Clarke, MS"
0500000US28025,"Clay County, Mississippi",28025,Clay County,Clay,Mississippi,"Clay, Mississippi","Clay, MS"
0500000US28027,"Coahoma County, Mississippi",28027,Coahoma County,Coahoma,Mississippi,"Coahoma, Mississippi","Coahoma, MS"
0500000US28029,"Copiah County, Mississippi",28029,Copiah County,Copiah,Mississippi,"Copiah, Mississippi","Copiah, MS"
0500000US28031,"Covington County, Mississippi",28031,Covington County,Covington,Mississippi,"Covington, Mississippi","Covington, MS"
0500000US28033,"DeSoto County, Mississippi",28033,DeSoto County,DeSoto,Mississippi,"DeSoto, Mississippi","DeSoto, MS"
0500000US28035,"Forrest County, Mississippi",28035,Forrest County,Forrest,Mississippi,"Forrest, Mississippi","Forrest, MS"
0500000US28037,"Franklin County, Mississippi",28037,Franklin County,Franklin,Mississippi,"Franklin, Mississippi","Franklin, MS"
0500000US28039,"George County, Mississippi",28039,George County,George,Mississippi,"George, Mississippi","George, MS"
0500000US28041,"Greene County, Mississippi",28041,Greene County,Greene,Mississippi,"Greene, Mississippi","Greene, MS"
0500000US28043,"Grenada County, Mississippi",28043,Grenada County,Grenada,Mississippi,"Grenada, Mississippi","Grenada, MS"
0500000US28045,"Hancock County, Mississippi",28045,Hancock County,Hancock,Mississippi,"Hancock, Mississippi","Hancock, MS"
0500000US28047,"Harrison County, Mississippi",28047,Harrison County,Harrison,Mississippi,"Harrison, Mississippi","Harrison, MS"
0500000US28049,"Hinds County, Mississippi",28049,Hinds County,Hinds,Mississippi,"Hinds, Mississippi","Hinds, MS"
0500000US28051,"Holmes County, Mississippi",28051,Holmes County,Holmes,Mississippi,"Holmes, Mississippi","Holmes, MS"
0500000US28053,"Humphreys County, Mississippi",28053,Humphreys County,Humphreys,Mississippi,"Humphreys, Mississippi","Humphreys, MS"
0500000US28055,"Issaquena County, Mississippi",28055,Issaquena County,Issaquena,Mississippi,"Issaquena, Mississippi","Issaquena, MS"
0500000US28057,"Itawamba County, Mississippi",28057,Itawamba County,Itawamba,Mississippi,"Itawamba, Mississippi","Itawamba, MS"
0500000US28059,"Jackson County, Mississippi",28059,Jackson County,Jackson,Mississippi,"Jackson, Mississippi","Jackson, MS"
0500000US28061,"Jasper County, Mississippi",28061,Jasper County,Jasper,Mississippi,"Jasper, Mississippi","Jasper, MS"
0500000US28063,"Jefferson County, Mississippi",28063,Jefferson County,Jefferson,Mississippi,"Jefferson, Mississippi","Jefferson, MS"
0500000US28065,"Jefferson Davis County, Mississippi",28065,Jefferson Davis County,Jefferson Davis,Mississippi,"Jefferson Davis, Mississippi","Jefferson Davis, MS"
0500000US28067,"Jones County, Mississippi",28067,Jones County,Jones,Mississippi,"Jones, Mississippi","Jones, MS"
0500000US28069,"Kemper County, Mississippi",28069,Kemper County,Kemper,Mississippi,"Kemper, Mississippi","Kemper, MS"
0500000US28071,"Lafayette County, Mississippi",28071,Lafayette County,Lafayette,Mississippi,"Lafayette, Mississippi","Lafayette, MS"
0500000US28073,"Lamar County, Mississippi",28073,Lamar County,Lamar,Mississippi,"Lamar, Mississippi","Lamar, MS"
0500000US28075,"Lauderdale County, Mississippi",28075,Lauderdale County,Lauderdale,Mississippi,"Lauderdale, Mississippi","Lauderdale, MS"
0500000US28077,"Lawrence County, Mississippi",28077,Lawrence County,Lawrence,Mississippi,"Lawrence, Mississippi","Lawrence, MS"
0500000US28079,"Leake County, Mississippi",28079,Leake County,Leake,Mississippi,"Leake, Mississippi","Leake, MS"
0500000US28081,"Lee County, Mississippi",28081,Lee County,Lee,Mississippi,"Lee, Mississippi","Lee, MS"
0500000US28083,"Leflore County, Mississippi",28083,Leflore County,Leflore,Mississippi,"Leflore, Mississippi","Leflore, MS"
0500000US28085,"Lincoln County, Mississippi",28085,Lincoln County,Lincoln,Mississippi,"Lincoln, Mississippi","Lincoln, MS"
0500000US28087,"Lowndes County, Mississippi",28087,Lowndes County,Lowndes,Mississippi,"Lowndes, Mississippi","Lowndes, MS"
0500000US28089,"Madison County, Mississippi",28089,Madison County,Madison,Mississippi,"Madison, Mississippi","Madison, MS"
0500000US28091,"Marion County, Mississippi",28091,Marion County,Marion,Mississippi,"Marion, Mississippi","Marion, MS"
0500000US28093,"Marshall County, Mississippi",28093,Marshall County,Marshall,Mississippi,"Marshall, Mississippi","Marshall, MS"
0500000US28095,"Monroe County, Mississippi",28095,Monroe County,Monroe,Mississippi,"Monroe, Mississippi","Monroe, MS"
0500000US28097,"Montgomery County, Mississippi",28097,Montgomery County,Montgomery,Mississippi,"Montgomery, Mississippi","Montgomery, MS"
0500000US28099,"Neshoba County, Mississippi",28099,Neshoba County,Neshoba,Mississippi,"Neshoba, Mississippi","Neshoba, MS"
0500000US28101,"Newton County, Mississippi",28101,Newton County,Newton,Mississippi,"Newton, Mississippi","Newton, MS"
0500000US28103,"Noxubee County, Mississippi",28103,Noxubee County,Noxubee,Mississippi,"Noxubee, Mississippi","Noxubee, MS"
0500000US28105,"Oktibbeha County, Mississippi",28105,Oktibbeha County,Oktibbeha,Mississippi,"Oktibbeha, Mississippi","Oktibbeha, MS"
0500000US28107,"Panola County, Mississippi",28107,Panola County,Panola,Mississippi,"Panola, Mississippi","Panola, MS"
0500000US28109,"Pearl River County, Mississippi",28109,Pearl River County,Pearl River,Mississippi,"Pearl River, Mississippi","Pearl River, MS"
0500000US28111,"Perry County, Mississippi",28111,Perry County,Perry,Mississippi,"Perry, Mississippi","Perry, MS"
0500000US28113,"Pike County, Mississippi",28113,Pike County,Pike,Mississippi,"Pike, Mississippi","Pike, MS"
0500000US28115,"Pontotoc County, Mississippi",28115,Pontotoc County,Pontotoc,Mississippi,"Pontotoc, Mississippi","Pontotoc, MS"
0500000US28117,"Prentiss County, Mississippi",28117,Prentiss County,Prentiss,Mississippi,"Prentiss, Mississippi","Prentiss, MS"
0500000US28119,"Quitman County, Mississippi",28119,Quitman County,Quitman,Mississippi,"Quitman, Mississippi","Quitman, MS"
0500000US28121,"Rankin County, Mississippi",28121,Rankin County,Rankin,Mississippi,"Rankin, Mississippi","Rankin, MS"
0500000US28123,"Scott County, Mississippi",28123,Scott County,Scott,Mississippi,"Scott, Mississippi","Scott, MS"
0500000US28125,"Sharkey County, Mississippi",28125,Sharkey County,Sharkey,Mississippi,"Sharkey, Mississippi","Sharkey, MS"
0500000US28127,"Simpson County, Mississippi",28127,Simpson County,Simpson,Mississippi,"Simpson, Mississippi","Simpson, MS"
0500000US28129,"Smith County, Mississippi",28129,Smith County,Smith,Mississippi,"Smith, Mississippi","Smith, MS"
0500000US28131,"Stone County, Mississippi",28131,Stone County,Stone,Mississippi,"Stone, Mississippi","Stone, MS"
0500000US28133,"Sunflower County, Mississippi",28133,Sunflower County,Sunflower,Mississippi,"Sunflower, Mississippi","Sunflower, MS"
0500000US28135,"Tallahatchie County, Mississippi",28135,Tallahatchie County,Tallahatchie,Mississippi,"Tallahatchie, Mississippi","Tallahatchie, MS"
0500000US28137,"Tate County, Mississippi",28137,Tate County,Tate,Mississippi,"Tate, Mississippi","Tate, MS"
0500000US28139,"Tippah County, Mississippi",28139,Tippah County,Tippah,Mississippi,"Tippah, Mississippi","Tippah, MS"
0500000US28141,"Tishomingo County, Mississippi",28141,Tishomingo County,Tishomingo,Mississippi,"Tishomingo, Mississippi","Tishomingo, MS"
0500000US28143,"Tunica County, Mississippi",28143,Tunica County,Tunica,Mississippi,"Tunica, Mississippi","Tunica, MS"
0500000US28145,"Union County, Mississippi",28145,Union County,Union,Mississippi,"Union, Mississippi","Union, MS"
0500000US28147,"Walthall County, Mississippi",28147,Walthall County,Walthall,Mississippi,"Walthall, Mississippi","Walthall, MS"
0500000US28149,"Warren County, Mississippi",28149,Warren County,Warren,Mississippi,"Warren, Mississippi","Warren, MS"
0500000US28151,"Washington County, Mississippi",28151,Washington County,Washington,Mississippi,"Washington, Mississippi","Washington, MS"
0500000US28153,"Wayne County, Mississippi",28153,Wayne County,Wayne,Mississippi,"Wayne, Mississippi","Wayne, MS"
0500000US28155,"Webster County, Mississippi",28155,Webster County,Webster,Mississippi,"Webster, Mississippi","Webster, MS"
0500000US28157,"Wilkinson County, Mississippi",28157,Wilkinson County,Wilkinson,Mississippi,"Wilkinson, Mississippi","Wilkinson, MS"
